station_name;station_no;ts_id;ts_name;parametertype_name;stationparameter_name;from;to
Snow - Blakeney;MVCA32;54552042;140.Sample 01;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54553042;141.Sample 02;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54554042;142.Sample 03;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54555042;143.Sample 04;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54556042;144.Sample 05;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54557042;145.Sample 06;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54558042;146.Sample 07;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54559042;147.Sample 08;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54560042;148.Sample 09;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54561042;149.Sample 10;Snow, Depth;SD;2015-03-30 09:10:00;2023-03-30 07:41:47
Snow - Ardoch;MVCA31;54737042;101.Original;Snow, Depth;SD;1981-12-01 00:00:00;2023-04-12 07:11:33
Snow - Ardoch;MVCA31;54738042;102.Edited;Snow, Depth;SD;1981-12-01 00:00:00;2023-04-12 07:11:33
Snow - Blakeney;MVCA32;54743042;101.Original;Snow, Depth;SD;1976-01-15 00:00:00;2023-03-30 07:41:47
Snow - Blakeney;MVCA32;54744042;102.Edited;Snow, Depth;SD;1976-01-15 00:00:00;2023-03-30 07:41:47
Snow - Bon Echo;MVCA33;54748042;101.Original;Snow, Depth;SD;1981-12-01 00:00:00;2023-03-30 09:03:11
